directory_category,post_content,location_address__street,location_address__city,location_address__address,location_address__lat,location_address__term_id,location_address__lng,location_address__zip,post_title,field_phone,field_social_accounts__facebook,field_website
Commerce et Service,Description à venir,Rue du faubourg 2,chimay,"Rue du faubourg 2, 6460 Chimay",50.047305,chimay,4.313231,6460.0,Ms Hair And Beauty,0475 56 88 41,https://www.facebook.com/MS-Hair-Beauty-Chimay-Maud-Stevens-447203525417881,A venir
Commerce et Service,"<img class=""alignnone size-medium wp-image-3642"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/multiboispoucet-300x188.jpg"" alt="""" width=""300"" height=""188"" />Description à venir",Zoning Industriel,baileux,"Zoning Industriel, 6464 BAILEUX",50.035656,baileux,4.379384,6464.0,Multibois Poucet,060/21.26.61,https://www.facebook.com/MultiboisPoucetSA,https://www.multibois.be
Sports et Loisirs,Description à venir,rue frontière 68,riezes,"rue frontière 68, 6464 riezes",49.956144,riezes,4.366254,6464.0,Musée Du Grand Méchant Loup,060/399939,https://www.facebook.com/riezestoys,http://www.legrandmechantloup.biz/
Commerce et Service,"<img class=""alignnone size-medium wp-image-3580"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/NhairJ-300x218.jpg"" alt="""" width=""300"" height=""218"" />Description à venir",Rue de la Bouchère 21,chimay,"Rue de la Bouchère 21, 6460 CHIMAY",50.049784,chimay,4.309263,6460.0,N'Hair'J,0477/88 85 26,https://www.facebook.com/Nhairj-602222553278310,A venir
Commerce et Service,"<img class=""alignnone size-medium wp-image-3643"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/nighteandday-300x200.jpg"" alt="""" width=""300"" height=""200"" />Description à venir",Route de Couvin 98,chimay,"Route de Couvin 98, 6460 CHIMAY",50.045321,chimay,4.328122,6460.0,Night And Day,0,A venir,A venir
Commerce et Service,Description à venir,Place Léopold,chimay,"Place Léopold, 6460 Chimay",50.047302,chimay,4.317328,6460.0,Night Shop,0,A venir,A venir
Resto et Snack,Description à venir,Route de Boutonville 9,baileux,"Route de Boutonville 9, 6464 BAILEUX",50.037656,baileux,4.392215,6464.0,No Limit,060/45 69 64,A venir,A venir
Commerce et Service,"La nouvelle référence à grande valeur ajoutée pour tous vos projets de voyages privés ou professionnels!

• Conseil et vente voyages à forfaits tour-opérateurs (BE, FR, LU)
• Conseil et organisation voyages à la carte dans le monde entier : billetterie aérienne, transferts, logements divers, locations de voitures, assurances, …
• Organisation et accompagnement de voyages thématiques : circuits culturels, croisières, plongée sous-marine et trekking
• Organisation de voyages en groupes",Rue Van Humbeeck 1,chimay,"Rue van Humbeeck 1, 6460 Chimay, Belgique",50.047491,chimay,4.319286,6460.0,Odyssea Travel,+3260213964,https://www.facebook.com/odyssea.travel,A venir
Autre,Description à venir,"Rue d'Austravent, 12",chimay,"Rue d'Austravent, 12, 6460 CHIMAY",50.084453,chimay,4.266021,6460.0,Optique Poucet-Cuche,060/21 28 21,A venir,A venir
Banque et Finance,Description à venir,Rue de bourlers 14/1,chimay,"Rue de bourlers 14/1, 6460 Chimay",50.04752,chimay,4.321113,6460.0,Ozedis,060/211104,https://www.facebook.com/ozedis/,http://www.ozedis.be/
Sports et Loisirs,Description à venir,Rue Falise 1,saint-remy,"Rue Falise 1, 6460 SAINT-REMY",50.04553,saint-remy,4.291623,6460.0,Pepiniere Brison,060/21 28 26,A venir,A venir
textile,Description à venir,Rue des trappistes 101a,chimay,"Rue des trappistes 101a, 6460 Chimay",50.017577,chimay,4.337614,6460.0,Perlipopette,0476 03 56 00,https://www.facebook.com/PerlipopetteBelgique,https://www.perlipopette.be
Commerce et Service,Description à venir,Grand Place 15,chimay,"Grand Place 15, 6460 Chimay",50.048577,chimay,4.31417,6460.0,Petit Cadeau,060/212239,https://www.facebook.com/petitcadeau.be,http://www.petitcadeau.be/
Sante,Description à venir,Rue  de Virelles 1b,chimay,"Rue  de Virelles 1b, 6460 Chimay",50.049454,chimay,4.317637,6460.0,Pharmacie Cawet,060/21 10 98,https://www.facebook.com/PharmacieCawetSwalue,A venir
Sante,Description à venir,Place Froissart,chimay,"Place Froissart, 6460 Chimay",50.047229,chimay,4.31354,6460.0,Pharmacie Francois,060/211132,https://www.facebook.com/pharmacieFrancoischimay,A venir
Sante,Description à venir,Neant,chimay,", 6460 Chimay",50.084453,chimay,4.266021,6460.0,Pharmacie Gaye,060/211485,https://www.facebook.com/pharmaciegaye,A venir
Sante,Description à venir,Place Léopold,chimay,"Place Léopold, 6460 Chimay",50.047302,chimay,4.317328,6460.0,Pharmacie Maertens,060/211003,https://www.facebook.com/Pharmacie-Maertens-621759767837168,http://www.pharmaciemaertens.be/
animaux,"<img class=""alignnone size-medium wp-image-3585"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/DSC_2723-300x200.jpg"" alt="""" width=""300"" height=""200"" />   Description à venir",Rue de la Gâte 19,baileux,"Rue de la Gâte 19, 6464 BAILEUX",50.0255,baileux,4.370768,6464.0,Picart Siegried,0476/95 21 83,https://www.facebook.com/Toilettage-Picart-Siegried-418239784910364,A venir
animaux,Description à venir,"Rue de Bourlers, 21",chimay,"Rue de Bourlers, 21, 6460 CHIMAY",50.044235,chimay,4.325274,6460.0,Plus Tot Chic Toilettage Canin,060/21 30 81,A venir,A venir
Sports et Loisirs,"<img class=""alignnone size-medium wp-image-3613"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/pointsa-1-300x163.jpg"" alt="""" width=""300"" height=""163"" />Description à venir",Rue Grand Prix des Frontières 5,chimay,"Rue Grand Prix des Frontières 5, 6460 CHIMAY",50.053102,chimay,4.300368,6460.0,Point S,060211332,https://www.facebook.com/pointschimay5,http://www.point-s.be/
textile,Description à venir,Rue de Bourlers 1a,chimay,"Rue de Bourlers 1a, 6460 CHIMAY",50.047945,chimay,4.321365,6460.0,Pointcarre,060/21 51 41,https://www.facebook.com/PointCarreChimay,http://www.pointcarre.eu/fr/magasins?id_magasin=1
Autre,Description à venir,"Rue des Sarts, 250",forges,"Rue des Sarts, 250, 6464 FORGES",50.027883,forges,4.306447,6464.0,Poterie Marie-Jo Cuche,060/21 14 57,A venir,A venir
Commerce et Service,Description à venir,"Rue Lisbonne, 75c",l'escaillere,"Rue Lisbonne, 75c, 6464 L'ESCAILLERE",49.952787,lescaillere,4.427187,6464.0,Pralines De Chimay,060/37 72 28,https://www.facebook.com/lespralinesdechimaygillotv,http://lespralinesdechimay.be/
Autre,Description à venir,"Grand-Place, 14/15",chimay,"Grand-Place, 14/15, 6460 CHIMAY",50.048905,chimay,4.314638,6460.0,Proximus,060/21 35 11,https://www.facebook.com/bcwproximuschimay,A venir
Banque et Finance,Description à venir,Rue de Virelles 20d,chimay,"Rue de Virelles 20d, 6460 Chimay",50.049785,chimay,4.321447,6460.0,Pv Assurances,0,A venir,A venir
Resto et Snack,Description à venir,"Chée de Mons, 74",chimay,"Chée de Mons, 74, 6460 CHIMAY",50.061184,chimay,4.300888,6460.0,Restaurant Du Circuit,060/21 23 84,https://www.facebook.com/Taverne-Restaurant-Du-Circuit-1877174839221403,A venir
Banque et Finance,Description à venir,"Rue de Noailles, 2",chimay,"Rue de Noailles, 2, 6460 CHIMAY",50.049308,chimay,4.317124,6460.0,S.P.R.L. Socredas,060/21 32 84,A venir,A venir
Commerce et Service,Description à venir,Rue des Déportés 11,chimay,"Rue des Déportés 11, 6460 CHIMAY",50.048249,chimay,4.309424,6460.0,S.P.R.L. Wilcothera,060/21 32 99,A venir,A venir
Banque et Finance,Description à venir,Chée de Couvin 104,chimay,"Chée de Couvin 104, 6460 CHIMAY",50.045103,chimay,4.328695,6460.0,Sa Chimay Assurances,060/21 24 15,www.chimayassurances.be,A venir
Commerce et Service,Description à venir,Rue du Fief 1,chimay,"Rue du Fief 1, 6460 CHIMAY",50.050158,chimay,4.321322,6460.0,Saveurs De Thierache,060/21 19 13,A venir,A venir
Resto et Snack,Description à venir,Rue au filet 16,chimay,"Rue au filet 16, 6460 Chimay",50.048894,chimay,4.315832,6460.0,Saveurs Thai,0477/467671,https://www.facebook.com/Lessaveursthai/,A venir
textile,Description à venir,rue de l'athénée 38,chimay,"rue de l'athénée 38, 6460 Chimay",50.048145,chimay,4.314803,6460.0,Smarly,060/219549,https://www.facebook.com/Smarly-581506322043094,http://www.pretaporter-smarly.be/
Sports et Loisirs,"<img class=""alignnone size-medium wp-image-3612"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/ateliersdurlet-1-300x200.jpg"" alt="""" width=""300"" height=""200"" />Description à venir",Chaussée de Trélon,chimay,"Chée de Trélon, 6460 CHIMAY",50.051197,chimay,4.303094,6460.0,Sprl Ateliers Durlet,060/21 12 18,https://www.facebook.com/AteliersDurlet,http://www.ateliersdurlet.com/
Commerce et Service,Description à venir,"Rue Pétin, 24",baileux,"Rue Pétin, 24, 6464 BAILEUX",50.031999,baileux,4.376751,6464.0,Sprl Canivet Michel,060/21 20 95,A venir,A venir
Banque et Finance,Description à venir,Place du Prince 2,chimay,"Place du Prince 2, 6460 CHIMAY",50.049006,chimay,4.319955,6460.0,Sprl Michaux,060/21 13 45,A venir,A venir
Commerce et Service,Description à venir,"Chée de Mons, 17",chimay,"Chée de Mons, 17, 6460 CHIMAY",50.051241,chimay,4.309154,6460.0,Station Match,060/21 34 76,A venir,A venir
Commerce et Service,Description à venir,"Chaussée de Couvin 98, 6460 Chimay",chimay,"Chaussée de Couvin 98, 6460 Chimay, Belgique",50.045194,chimay,4.328064,6460.0,Station Shell,0,A venir,A venir
Commerce et Service,Description à venir,chimay,chimay,", 6460 CHIMAY",50.084453,chimay,4.266021,6460.0,Station Total,060/21 30 16,A venir,A venir
Commerce et Service,Description à venir,Rue Sainte Geneviève 10c,chimay,"Rue Sainte-Geneviève 10C, 6460 Chimay, Belgique",50.047061,saint-remy,4.301007,6460.0,Stevensoft Sprl,060/21 54 00,A venir,A venir
Resto et Snack,Description à venir,GRand rue 14,chimay,"GRand rue 14, 6460 Chimay",50.04877,chimay,4.314314,6460.0,Sushimay,0477/062040,https://www.facebook.com/sushimay13/,https://info@sushichimay.be
Resto et Snack,Description à venir,"Rue des Ormeaux, 30",chimay,"Rue des Ormeaux, 30, 6460 CHIMAY",50.047374,chimay,4.316468,6460.0,Taverne Le Galion,060/21 35 96,https://www.facebook.com/Taverne-Le-Galion-1694418097524873,A venir
Sports et Loisirs,Description à venir,Rue Emile Dony 15c,bourlers,"Rue Emile Dony 15c, 6464 BOURLERS",50.02724,bourlers,4.339348,6464.0,Tb Racing,060/51 43 08,A venir,A venir
Commerce et Service,Description à venir,"Grand-Rue, 15/17",chimay,"Grand-Rue, 15/17, 6460 CHIMAY",50.048578,chimay,4.314188,6460.0,Textiles Coene-Pirson,060/21 13 95,https://www.facebook.com/Coene-Marcoux-Impression-177560835654713,https://cmimpression.com
textile,Description à venir,"Rue de Bourlers,1c",chimay,"Rue de Bourlers,1c, 6460 CHIMAY",50.047945,chimay,4.321365,6460.0,Tissus Thonet,060/21 21 34,https://www.facebook.com/Magasins-Thonet-764549020342172,A venir
Commerce et Service,Description à venir,Rue Van Humbeeck 13,chimay,"Rue Van Humbeeck 13, 6460 CHIMAY",50.048033,chimay,4.320436,6460.0,Tom & Co,060/21 12 21,https://www.facebook.com/kevin.vandesteene,http://www.tomandco.be/
Commerce et Service,"<img class=""alignnone size-medium wp-image-3588"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/tooba-300x200.jpg"" alt="""" width=""300"" height=""200"" />",Rue de Virelles 18,chimay,"Rue de Virelles 18, 6460 CHIMAY",50.049156,chimay,4.320624,6460.0,Tooba,060/21 46 78,https://www.facebook.com/Tooba-1705096649712383,A venir
Commerce et Service,Description à venir,Chaussée de Mons,chimay,"Chaussée de Mons, 6460 Chimay",50.085017,chimay,4.293276,6460.0,Traffic,0,A venir,A venir
Autre,Description à venir,Rue du lac 41a,virelles,"Rue du lac 41a, 6461 Virelles",50.068053,virelles,4.343553,6461.0,Traiteur Bouyard,0477/60 16 37,https://www.facebook.com/BouyardCie,https://www.bouyard.be
Resto et Snack,Description à venir,Rue de la poterie 49/a,chimay,"Rue de la poterie 49/a, 6460 Chimay",50.027345,chimay,4.335023,6460.0,Traiteur Jg Demeyer,0477/509105,A venir,A venir
animaux,Description à venir,Chaussée de Couvin 86,chimay,"Chaussée de Couvin 86, 6460 CHIMAY",50.04573,chimay,4.326187,6460.0,Tresor D'Eau Et De Terre,Tél. 0497/13.15.32,https://www.facebook.com/Tr%C3%A9sors-deau-et-de-terre-238378543783108,A venir
Commerce et Service,Description à venir,chaussée de Mons 14,chimay,"chaussée de Mons 14, 6460 CHIMAY",50.051203,chimay,4.309593,6460.0,Vaisiere Meubles,060/21 17 49,https://www.facebook.com/meublesvaisiere,http://www.vaisiere.be/
Commerce et Service,Description à venir,Rue de Forges 10,chimay,"Rue de Forges 10, 6460 CHIMAY",50.045273,chimay,4.316917,6460.0,Villa Adelaide,060/51 41 21,A venir,A venir
Autre,Description à venir,"Rue du Lavoir, 19",bourlers,"Rue du Lavoir, 19, 6464 BOURLERS",50.024792,bourlers,4.338929,6464.0,Walmat,060/21 13 58,https://www.facebook.com/WallonieMateriaux,A venir
Commerce et Service,Description à venir,Chaussée de Couvin 25/1,chimay,"Chaussée de Couvin 25/1, 6460 Chimay",50.047148,chimay,4.320959,6460.0,Wibra,0,A venir,A venir
Resto et Snack,Description à venir,rue des déportés 11,chimay,"rue des déportés 11, 6460 Chimay",50.048249,chimay,4.309424,6460.0,Wil Frites,060/213299,https://www.facebook.com/WilFritesChimay,A venir
Autre,Description à venir,grand place 1,chimay,"Grand'Rue 1, 6460 Chimay, Belgique",50.048798,chimay,4.314749,6460.0,Le Secret de Chimay,060 21 54 04,https://www.facebook.com/SecretdeChimay/,A venir
Commerce et Service,"<img class=""alignnone size-medium wp-image-3584"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/DSC_2425-300x200.jpg"" alt="""" width=""300"" height=""200"" />",Rue des Sarts 237,chimay,Chimay,0.0,forges,0.0,6464.0,Ets Parent,0,A venir,A venir
Commerce et Service,"<img class=""alignnone size-medium wp-image-3581"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/gregcoiffure-300x193.jpg"" alt="""" width=""300"" height=""193"" />",rue de Bourlers 66c,chimay,"Rue de Bourlers 66c, 6460 Chimay, Belgique",50.042802,chimay,4.326572,6460.0,RG coiffure,060 21 55 95,A venir,A venir
Commerce et Service,"Vente et conseils aux particuliers et installateurs : chauffage, sanitaire, fixations, traitement de l'eau",Place Froissart 9,chimay,"Place Froissart 24, 6460 Chimay, Belgique",50.047036,chimay,4.313293,6460.0,Sanitherm Chimay,048910 04 02,https://www.facebook.com/SaniTherm-Chimay-105500604414010/?__tn__=%2Cd%2CP-R&eid=ARAAI3GOtWhp7GCb3rel1RkYbh04qRRy_rEeLrPJu01Z8uW5LO9obHDHk2yoI1nm_3xYoATSpueE12i7,A venir
Commerce et Service,"Services dédiés aux professionnels de la santé : secrétariat, nettoyage des cabinets médicaux, matériels d'équipements pour le cabinet",Rue Lapeau 13,chimay,"Rue Lapeau, 6461 Chimay, Belgique",50.066129,virelles,4.321019,6461.0,Virginie  Vandecasteele,0479 51 53 98,A venir,https://www.smical.com
Commerce et Service,Menuiserie générale du bâtiment. Spécialisée dans les escaliers et portes intérieures.,Rue de l'étang 89f,chimay,"Rue de l'Etang 88, 6460 Chimay, Belgique",50.05544,salles,4.24463,6460.0,Menuiserie Vaccin,0494/ 67 34 66,https://www.facebook.com/menuiserievaccin/,A venir
Commerce et Service,Description à venir,Rue Colas Jean  72/1,chimay,"Rue Colas Jean 72, 6464 Chimay, Belgique",49.948633,lescaillere,4.43565,6460.0,La Brasserie Escaillonne,060/240 473   ou 0479/979 771,https://www.facebook.com/brasserieescaillonne/,https://www.brasserieescaillonne.be
Commerce et Service,Description à venir,Chaussée de Couvin 50b,chimay,"N99 52, 6460 Chimay, Belgique",50.046645,baileux,4.322551,6460.0,Ostéopathe D.O. Charles Vanden Noortgate,0484/ 21 64 39,A venir,A venir
Autre,Patrimoine Exceptionnel classé par la Région Wallone.,franc bois,lompret,"Courtil au Martias 23, 6463 Lompret, Belgique",50.063816,lompret,4.379527,6463.0,Le site du Franc Bois,0,A venir,A venir
Autre,"L’aire d’accueil et services Motorhomes de Chimay possède une situation géographique confortable pour ses utilisateurs. Située à proximité du centre historique de Chimay, elle dispose de tout le confort nécessaire à une halte. Ce lieu spécialement dédié aux camping-cars s’inscrit aux abords d’un camping qui offre également divers services. De plus, l’aire se situe en bordure de Ravel ou encore à 5 minutes du Circuit de Chimay, de quoi profiter paisiblement de la découverte de la région.",Allée du Prince,chimay,"Camping communal de Chimay, Allée du Prince, 6460 Chimay, Belgique",50.045781,chimay,4.309699,6460.0,Camping de Chimay,060 51 12 57,A venir,https://www.ville-de-chimay.be/loisirs/tourisme/le-site-du-camping-communal
Sports et Loisirs,"« Laissez-vous conter l’histoire de Chimay à bord du petit train touristique. Une manière agréable et reposante de découvrir les multiples visages de Chimay.
Etant donné l’affluence actuelle, il est conseillé de réserver au 060/21 18 46 ou par mail info@si-chimay.be",Rue de Noailles 6,chimay,"Rue de Noailles 6, 6460 Chimay, Belgique",50.049444,chimay,4.317226,6460.0,Le petit train touristique,060211846,A venir,https://visitchimay.be
Autre,Description à venir,Rue de Noailles 6,chimay,"Rue de Noailles 6, 6460 Chimay, Belgique",50.049444,chimay,4.317226,6460.0,Info Tourisme,060211846,A venir,https://visitchimay.be
Autre,"Concerts, jeux pour enfants, crieur public, activités artistiques ou encore évènements festifs, cela fait désormais 6 ans que les Estivales parviennent à vous plonger dans un air de vacances !",grand place,chimay,"Grand'Place 1415, 6460 Chimay, Belgique",50.048968,chimay,4.315053,6460.0,Estivales,060215404,A venir,https://visitchimay.be
Autre,"Le clocher bulbeux surmontant la tour érigée de 1732 à 1742 abrite un carillon unique en son genre. Véritable piano à cloches avec un petit clavier, il a la particularité de ne pas avoir de mi bémol. Il totalise 26 cloches dont la plus ancienne date du XVIIème siècle.",Rue de la collégiale,chimay,"Rue Fromenteau 1, 6460 Chimay, Belgique",50.049333,chimay,4.315518,6460.0,Carillon de la Collégiale,060212754,A venir,A venir
Banque et Finance,Description à venir,grand place 29,chimay,Chimay,0.0,chimay,0.0,6460.0,Belfius,060/210230,A venir,https://www.belfius.be
Banque et Finance,Description à venir,Place Froissart 2,chimay,Chimay,0.0,chimay,0.0,6460.0,BNP Paribas Fortis,060/210350,A venir,https://www.bnpparibasfortis
Banque et Finance,Description à venir,Chaussée de Couvin 1,chimay,"Chaussée de Couvin 1, 6460 Chimay, Belgique",50.047389,chimay,4.319534,6460.0,Beobank,060/213061,A venir,A venir
Banque et Finance,Description à venir,Rue de Virelles 3,chimay,"Rue de Virelles 3, 6460 Chimay, Belgique",50.049422,chimay,4.317684,6460.0,CBC Banque,060/414150,A venir,A venir
Art et Lieux Historiques,Description à venir,Rue de Virelles 45,chimay,"Rue de Virelles 45, 6460 Chimay, Belgique",50.049782,chimay,4.321041,6460.0,Atelier Laurent Nemeghaire,0498698082,A venir,A venir
Autre,Description à venir,Rue saint nicolas,chimay,"Rue Saint-Nicolas 53, 6460 Chimay, Belgique",50.048352,chimay,4.311518,6460.0,Pont d'en bas,0,A venir,A venir
Autre,Description à venir,plaine des ormeaux,chimay,"Rue des Ormeaux 27, 6460 Chimay, Belgique",50.047948,chimay,4.317417,6460.0,Plaine des Ormeaux,0,A venir,A venir
Autre,Description à venir,Rue de Noailles 4,chimay,"Rue de Noailles 5, 6460 Chimay, Belgique",50.047906,chimay,4.318303,6460.0,Vieille Tour,0,A venir,A venir
Autre,Description à venir,rue rogier 5,chimay,"Rue Rogier 10, 6460 Chimay, Belgique",50.04939,chimay,4.31668,6460.0,Hôtel des Postes,0,A venir,A venir
Autre,Description à venir,Rue de la collégiale,chimay,"Rue Fromenteau 1, 6460 Chimay, Belgique",50.049333,chimay,4.315518,6460.0,Collégiale Saint-Pierre et Paul,0,A venir,A venir
Autre,Description à venir,Place du Chapitre,chimay,"Rue Fromenteau 28, 6460 Chimay, Belgique",50.049555,chimay,4.316286,6460.0,Place du Chapitre,0,A venir,A venir
Autre,Description à venir,Rue basse ville,chimay,"Place Mont-Joly 12, 6460 Chimay, Belgique",50.050251,chimay,4.315761,6460.0,Fontaine Sainte-Prisce,0,A venir,A venir
Autre,Description à venir,Rue basse ville,chimay,"Place Mont-Joly 12, 6460 Chimay, Belgique",50.050426,chimay,4.315858,6460.0,Vieux lavoir,0,A venir,A venir
Art et Lieux Historiques,Description à venir,rue basse ville,chimay,"Rue Basse-Ville La Ramp 10, 6460 Chimay, Belgique",50.049725,chimay,4.314515,6460.0,Jardins suspendus,0,A venir,A venir
Art et Lieux Historiques,Description à venir,rue du four,chimay,"Rue du Four 8, 6460 Chimay, Belgique",50.049202,chimay,4.314268,6460.0,Rue du Four,0,A venir,A venir
Autre,Description à venir,rue du château,chimay,"Rue du Château 11, 6460 Chimay, Belgique",50.049027,chimay,4.314689,6460.0,Porte Triomphale,0,A venir,A venir
Autre,Description à venir,grand place,chimay,"Grand'Place 1912, 6460 Chimay, Belgique",50.049076,chimay,4.315089,6460.0,Fontaine des Princes,0,A venir,A venir
Autre,Description à venir,grand place,chimay,"Grand'Place 34, 6460 Chimay, Belgique",50.04913,chimay,4.315317,6460.0,Grand Place,0,A venir,A venir
Autre,Description à venir,grand place 1,chimay,"Grand'Rue 1, 6460 Chimay, Belgique",50.048798,chimay,4.314749,6460.0,Hôtel de Ville,0,A venir,A venir
Sante,Description à venir,bld louise 18,chimay,"Boulevard Louise 18, 6460 Chimay, Belgique",50.044836,chimay,4.310034,6460.0,Hôpital de Chimay (CSF),060218811,A venir,A venir
Sante,Poste de Garde - Polyclinique du Centre de Santé des Fagnes (Hôpital - CSF),chausé de couvin 41,chimay,"Chaussée de Couvin 41, 6460 Chimay, Belgique",50.046848,chimay,4.323424,6460.0,Poste de Garde,060211534,A venir,A venir
Autre,Description à venir,rue de la socque 12,chimay,"Rue de la Soque 10, 6460 Chimay, Belgique",50.047314,chimay,4.315277,6460.0,Maison de la Socque,0,A venir,A venir
Art et Lieux Historiques,Description à venir,Place Léopold,chimay,"N99 16, 6460 Chimay, Belgique",50.047302,chimay,4.317328,6460.0,Promenade du Moulin du Blanc,0,A venir,A venir
Art et Lieux Historiques,Description à venir,Place Léopold,chimay,"N99 16, 6460 Chimay, Belgique",50.047302,chimay,4.317328,6460.0,Promenade des Crayas,0,A venir,A venir
Art et Lieux Historiques,Description à venir,Rue du Four 3,chimay,"Rue du Four 3, 6460 Chimay, Belgique",50.049094,chimay,4.314036,6460.0,Eglise Protestante,060211710,A venir,A venir
Art et Lieux Historiques,Description à venir,bld louise,chimay,"Boulevard Louise 17, 6460 Chimay, Belgique",50.044943,chimay,4.314861,6460.0,Chapelle ND de la Miséricorde,0,A venir,A venir
Art et Lieux Historiques,Description à venir,Rue des Sartiaux 1,chimay,"Rue des Sartiaux 1, 6460 Chimay, Belgique",50.046503,chimay,4.317866,6460.0,Chapelle Saint-Ghislain,0,A venir,A venir
Art et Lieux Historiques,Description à venir,rue d'angleterre,chimay,"Rue d'Angleterre 28, 6460 Chimay, Belgique",50.048536,chimay,4.314805,6460.0,Rue d'Angleterre,0,A venir,A venir
Art et Lieux Historiques,Description à venir,Rue du Tribunal,chimay,"Rue Fromenteau 4, 6460 Chimay, Belgique",50.049238,chimay,4.314637,6460.0,Rue du Tribunal,0,A venir,A venir
Autre,Description à venir,rue du château,chimay,"Rue Saint-Nicolas 38, 6460 Chimay, Belgique",50.048609,chimay,4.312582,6460.0,Théâtre du Château,0,A venir,A venir
Autre,Description à venir,Rue d'Angleterre 10,chimay,"Rue d'Angleterre 28, 6460 Chimay, Belgique",50.048536,chimay,4.314805,6460.0,La Ferme Coworking,0,A venir,https://la-ferme.be
Autre,Description à venir,Place  Léopold,chimay,"N99 16, 6460 Chimay, Belgique",50.047302,chimay,4.317328,6460.0,Place Léopold,0,A venir,A venir
Autre,Description à venir,gare,chimay,"Rue de Virelles 18, 6460 Chimay, Belgique",50.049075,chimay,4.32103,6460.0,Parking de la Gare,0,A venir,A venir
Autre,Description à venir,Place froissart,chimay,"Place Froissart 17, 6460 Chimay, Belgique",50.046989,chimay,4.314134,6460.0,Parking Froissart/Patria,0,A venir,A venir
Art et Lieux Historiques,Description à venir,Ancienne Gare de Chimay,chimay,"CHIMAY Gare, 6460 Chimay, Belgique",50.048141,chimay,4.319592,6460.0,RAVel 109/2 vers Thuin,0,A venir,A venir
Art et Lieux Historiques,Description à venir,Gare de Chimay,chimay,"CHIMAY Gare Quai 01, 6460 Chimay, Belgique",50.048481,chimay,4.319796,6460.0,RAVeL 156 vers Momignies,0,A venir,A venir
Sports et Loisirs,Description à venir,Rue de Virelles 20,chimay,"Rue de Virelles 20f, 6460 Chimay, Belgique",50.048903,chimay,4.322711,6460.0,Piscine communale,0,A venir,A venir
Sports et Loisirs,Description à venir,Avenue du Chalon 1b,chimay,"Avenue du Châlon 1/B, 6460 Chimay, Belgique",50.048212,chimay,4.322965,6460.0,Centre Sportif de Chimay,0,A venir,A venir
Sports et Loisirs,Description à venir,Avenue du Chalon 1,chimay,"Rue de Virelles 34, 6460 Chimay, Belgique",50.050485,chimay,4.327329,6460.0,Viking Tennis Paddle Club,0,A venir,A venir
Autre,Description à venir,Place des Princes,chimay,"CHIMAY Gare Quai 03, 6460 Chimay, Belgique",50.048492,chimay,4.319744,6460.0,Gare des Bus (TEC),0,A venir,A venir
Autre,Description à venir,rue d'austravant,chimay,"Rue d'Austravant 32, 6460 Chimay, Belgique",50.047758,chimay,4.314603,6460.0,Porte d'Austravant,0,A venir,A venir
Autre,Description à venir,Place froissart,chimay,"Place Froissart 22, 6460 Chimay, Belgique",50.047229,chimay,4.31354,6460.0,Statue Froissart,0,A venir,A venir
